Candidate,State,District,Office Type,Race Type,Race Primary Election Date,Primary Status,Primary Runoff Status,Partisan Lean,Primary %,Emily Endorsed?,Biden Endorsed?,Warren Endorsed? ,Sanders Endorsed?,Our Revolution Endorsed?,Justice Dems Endorsed?,PCCC Endorsed?,Indivisible Endorsed?,WFP Endorsed?,VoteVets Endorsed?,No Labels Support?,Party,Trump Endorsed?,Bannon Endorsed?,Great America Endorsed?,NRA Endorsed?,Right to Life Endorsed?,Susan B. Anthony Endorsed?,Club for Growth Endorsed?,Koch Support?,House Freedom Support?,Tea Party Endorsed?,Main Street Endorsed?,Chamber Endorsed?,Party Support?,District_Num
Lizzetta Hill McConnell,AL,U.S. House Alabama District 1,Representative,Regular,6/5/18,Lost,None,-30.68,19.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,1
Robert Kennedy Jr.,AL,U.S. House Alabama District 1,Representative,Regular,6/5/18,Advanced,None,-30.68,80.769997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,1
Audri Scott Williams,AL,U.S. House Alabama District 2,Representative,Regular,6/5/18,Lost,None,-33.080002,39.560001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2
Tabitha Isner,AL,U.S. House Alabama District 2,Representative,Regular,6/5/18,Advanced,None,-33.080002,60.439999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2
Adia McClellan Winfrey,AL,U.S. House Alabama District 3,Representative,Regular,6/5/18,Lost,None,-33.66,34.240002000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,3
Mallory Hagan,AL,U.S. House Alabama District 3,Representative,Regular,6/5/18,Advanced,None,-33.66,65.739998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,3
Lee Auman,AL,U.S. House Alabama District 4,Representative,Regular,6/5/18,Advanced,None,-62.48,54.130001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,4
Rick Neighbors,AL,U.S. House Alabama District 4,Representative,Regular,6/5/18,Lost,None,-62.48,45.869999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,4
Peter Joffrion,AL,U.S. House Alabama District 5,Representative,Regular,6/5/18,Advanced,None,-34.830002,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,5
Danner Kline,AL,U.S. House Alabama District 6,Representative,Regular,6/5/18,Advanced,None,-48.459998999999996,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,6
Chintan Desai,AR,U.S. House Arkansas District 1,Representative,Regular,5/22/18,Advanced,None,-34.810001,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,1
Clarke Tucker,AR,U.S. House Arkansas District 2,Representative,Regular,5/22/18,Advanced,None,-13.51,57.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,2
Gwen Combs,AR,U.S. House Arkansas District 2,Representative,Regular,5/22/18,Lost,None,-13.51,20.299999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,2
Jonathan Dunkley,AR,U.S. House Arkansas District 2,Representative,Regular,5/22/18,Lost,None,-13.51,9.340000199999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,2
Paul Spencer,AR,U.S. House Arkansas District 2,Representative,Regular,5/22/18,Lost,None,-13.51,12.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,2
Joshua Mahony,AR,U.S. House Arkansas District 3,Representative,Regular,5/22/18,Advanced,None,-34.560001,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,3
Hayden Shamel,AR,U.S. House Arkansas District 4,Representative,Regular,5/22/18,Advanced,None,-33.68,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,4
Brianna Westbrook,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Lost,None,-24.559998999999998,39.720001,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,8
Hiral Tipirneni,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Advanced,None,-24.559998999999998,60.220001,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,8
