Candidate,CAND_ID,District,Party,State,Emily Endorsed?,Partisan Lean,TTL_RECEIPTS,TRANS_FROM_AUTH,CAND_CONTRIB,TTL_INDIV_CONTRIB,OTHER_POL_CMTE_CONTRIB,Primary %,Biden Endorsed?,Warren Endorsed? ,Sanders Endorsed?,Our Revolution Endorsed?,Justice Dems Endorsed?,PCCC Endorsed?,Indivisible Endorsed?,WFP Endorsed?,VoteVets Endorsed?,No Labels Support?,Party Support?,Trump Endorsed?,Bannon Endorsed?,Great America Endorsed?,NRA Endorsed?,Right to Life Endorsed?,Susan B. Anthony Endorsed?,Club for Growth Endorsed?,Koch Support?,House Freedom Support?,Tea Party Endorsed?,Main Street Endorsed?,Chamber Endorsed?,Race Type,CAND_ICI,Num_Unique_Contributions
Wendy Rogers,H2AZ09035,U.S. House Arizona District 1,R,AZ,-1.0,-24.559998999999998,1423836.68,0.0,698.53,1302250.0,83750.0,43.4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,Regular,C,382
Michael Eggman,H4CA10075,U.S. House California District 10,D,CA,-1.0,0.62,1639589.92,16038.75,0.0,1195080.49,375444.76,21.34,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,246
Wendy Reed,H6CA23206,U.S. House California District 23,D,CA,0.0,-25.379998999999998,40357.4,0.0,1887.97,22601.93,7500.0,34.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,14
Justin Fareed,H4CA24142,U.S. House California District 24,R,CA,-1.0,-7.729106964285712,2353070.71,0.0,739.26,2096376.98,231850.0,78.37,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular,O,342
Bryan Caforio,H6CA25177,U.S. House California District 25,D,CA,-1.0,2.02,1706520.29,22679.24,1974.17,1173006.17,456702.21,38.259997999999996,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,1078
Omar Navarro,H6CA44145,U.S. House California District 43,R,CA,-1.0,-7.729106964285712,1173123.55,0.0,6.0,1154323.67,3700.0,56.02,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular,C,158
John Cullum,H2CA46123,U.S. House California District 39,R,CA,-1.0,2.99,109973.72,0.0,0.0,7850.0,0.0,2.24,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,Regular,O,5
Douglas Applegate,H6CA49102,U.S. House California District 49,D,CA,-1.0,1.42,2114731.96,13738.75,0.0,1756793.91,285691.78,25.76,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,794
Patrick Malloy,H6CA50258,U.S. House California District 50,D,CA,0.0,-19.48,27447.89,0.0,200.0,17219.66,9596.63,16.129998999999998,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,3
John Horst,H6CA52148,U.S. House California District 52,R,CA,-1.0,-7.729106964285712,29234.98,0.0,14366.96,14724.78,0.0,8.25,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular,C,20
